id,familyKey,familyName,name,familyNameAr,nameAr,DozenPrice,pcsPerCarton,cartonPrice,imageFile,imageExists,badge,badgeAr,enabled,varianttype,varianttypeAr,rowType,sortOrder,printed
36,SatoorKbyr,,Satoor Kbyr Black,,ساطور كبير اسود,50,40,2000,Satoor Kbyr Black.jpg,TRUE,,,1,,,,,FALSE
37,SatoorKbyr,,Satoor Kbyr Fluorescent Printed,,ساطور كبير فسفورى مطبوع,80,40,3200,Satoor Kbyr Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
38,SatoorKbyr,,Satoor Kbyr Two-Tone Colors Printed,,ساطور كبير 2 لون مطبوع,80,40,3200,Satoor Kbyr Two-Tone Colors Printed.jpg,FALSE,,,1,,,,,TRUE
39,SatoorKbyr,,Satoor Kbyr Glass Colors Printed,,ساطور كبير زجاج الوان مطبوع,110,40,4400,Satoor Kbyr Glass Colors Printed.jpg,TRUE,,,1,,,,,TRUE
40,SatoorKbyr,,Satoor Kbyr Glass Honey Printed,,ساطور كبير زجاج عسلى مطبوع,110,40,4400,Satoor Kbyr Glass Honey Printed.jpg,TRUE,,,1,,,,,TRUE
41,SatoorKbyr,,Satoor Kbyr Black Printed,,ساطور كبير اسود مطبوع,80,40,3200,Satoor Kbyr Black Printed.jpg,TRUE,,,1,,,,,TRUE
family-SatoorSghyr,SatoorSghyr,Satoor Sghyr Combs,,أمشاط ساطور صغير,,,,,,FALSE,,,1,,,parent,10,FALSE
42,SatoorSghyr,,Satoor Sghyr Black,,ساطور صغير اسود,25,90,2250,Satoor Sghyr Black.jpg,TRUE,,,1,,,,,FALSE
43,SatoorSghyr,,Satoor Sghyr Colors,,ساطور صغير الوان,25,90,2250,Satoor Sghyr Colors.jpg,TRUE,,,1,,,,,FALSE
44,SatoorSghyr,,Satoor Sghyr Fluorescent Printed,,ساطور صغير فسفورى مطبوع,60,40,2400,Satoor Sghyr Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
45,SatoorSghyr,,Satoor Sghyr Glass Honey Printed,,ساطور صغير زجاج عسلى مطبوع,80,40,3200,Satoor Sghyr Glass Honey Printed.jpg,TRUE,,,1,,,,,TRUE
46,SatoorSghyr,,Satoor Sghyr Two-Tone Colors Printed,,ساطور صغير 2 لون مطبوع,60,40,2400,Satoor Sghyr Two-Tone Colors Printed.jpg,TRUE,,,1,,,,,TRUE
47,SatoorSghyr,,Satoor Sghyr Black Printed,,ساطور صغير اسود مطبوع,60,40,2400,Satoor Sghyr Black Printed.jpg,TRUE,,,1,,,,,TRUE
48,SatoorSghyr,,Satoor Sghyr Glass Colors Printed,,ساطور صغير زجاج الوان مطبوع,80,40,3200,Satoor Sghyr Glass Colors Printed.jpg,TRUE,,,1,,,,,TRUE
family-kokoSghyr,kokoSghyr,koko Sghyr Combs,,أمشاط كوكو صغير,,,,,,FALSE,,,1,,,parent,11,FALSE
49,kokoSghyr,,koko Sghyr Fluorescent,,كوكو صغير فسفورى,20,180,3600,koko Sghyr Fluorescent.jpg,TRUE,,,1,,,,,FALSE
50,kokoSghyr,,koko Soghayar Black,,كوكو صغير اسود,13,180,2340,koko Soghayar Black.jpg,TRUE,,,1,,,,,FALSE
51,kokoSghyr,,koko Soghayar Colors,,كوكو صغير الوان,13,180,2340,koko Soghayar Colors.jpg,TRUE,,,1,,,,,FALSE
